"中文","英译","备注"
"厦大（南普陀）","Xiamen Univ. (Nanputuo Temple)",
"厦大白城","Baicheng Gate of Xiamen Univ.",
"厦大西村","W. Village, Xiamen Univ.",
"厦大学生公寓","Student Apartment of Xiamen Univ.",
"厦大医院","Xiamen Univ. Hospital",
"厦大艺术学院","College of Arts, Xiamen Univ.",
"厦港公交场站","Xiagang Bus Terminal",
"厦航大厦","Xiamen Air Building",
"厦门宾馆","City Hotel Xiamen",
"厦门茶厂","Tea Factory of Xiamen",
"厦门古玩城","Xiamen Curio City",
"厦门国际友好公园","Xiamen International Friendship Park",
"厦门老年大学","Xiamen Senior-citizen Univ.",
"厦心医院","Cardiovascular Hospital",
"厦心医院北门","N. Gate of Cardiovascular Hospital",
"仙岳花园","Xianyue Garden",
"县后公交场站","Xianhou Bus Terminal",
"香山海景苑","Haijing Yuann in Xiangshan",
"香秀路口","Xiangxiu Intersection",
"祥店","Xiangdian",
"祥店邮局","Xiangdian Post Office",
"翔鹭花城","Xianglu Residential Area",
"象屿保税区","Xiangyu Free Trade Zone",
"象屿机电展示中心","Xiangyu Electromechanic Exhibition Center",
"象屿五金机电城","Xiangyu Hardware and Electromechanic City",
"象屿物流中心","Xiangyu Logistics Center",
"小白鹭艺术中心","Little Egret Art Center",
"小东山","Small Dongshan",
"欣华花园","Xinhua Garden",
"新丰路","Xinfeng Rd.",
"新丰三路口","Xinfeng 3rd Rd. Intersection",
"新华路口","Xinhua Intersection",
"兴湖花园","Xinghu Garden",
"兴隆东里","Xinglong E. Lane",
"兴隆路华荣路口","Xinglong-Huarong Intersection",
"兴园社区","Xingyuan Community",
"薛岭","Xueling",
"薛岭新村","Xueling New Residential Quarter",
"岩前路口","Yanqian Intersection",
"眼科医院","Optical Hospital",
"眼科中心五缘院区","Wuyuan Campus of Eye Center",
"阳鸿新城","Yanghong New Residential Quarter",
"阳台山","Yangtai Hill",
"椰风寨","Yefengzhai",
"一中","No.1 High School",
"宜宾北路口","Yibin N, Rd. Intersection",
"怡景花园","Yijing Garden",
"邮轮中心","Cruise Center",
"邮轮中心码头","Cruise Center Wharf",
"游艇码头北","Marina N.",
"游艇码头南","Marina S.",
"渔港东路","Yugang E. Rd.",
"屿后北里","Yuhou N. Lane",
"屿后南里","Yuhou S. Lane",
"禹洲花园","Yuzhou Garden",
"禹洲新村","Yuzhou New Residential Quarter",
"园山","Yuan Hill",
"园山南路","Yuanshan S. Rd.",
"袁厝","Yuan-cuo",
"岳阳小区","Yueyang Residential Quarter",
"悦华公寓","Yuehua Apartment",
"悦华路后浦","Houpu on Yuehua Rd.",
"悦华路口","Yuehua Intersection",
"云顶南路茂后","Maohou on Yunding South Rd.",
"筼筜官任","Guanren, Yundang",
"筼筜街道","Yundang Subdistrict",
"曾厝垵","Zeng-cuo-an",
"曾厝垵西路","Zengcuo'an W. Rd.",
"曾山","Zeng Hill",
"寨上","Zhaishang",
"寨上村口","Zhaishang Village Entrance",
"寨上公交场站","Zhaishang Bus Terminal",
"寨上社区","Zhaishang Community",
"寨上小学","Zhaishang Primary School",
"展鸿南路","Zhanhong South Rd.",
"珍珠湾","Zhenzhuwan",
"镇海路口","Zhenhai Intersection",
"植物园","Botanical Garden",
"植物园东门","E. Gate of Botanical Garden",
"植物园南门","W. Gate of Botanical Garden",
"中孚花园","Zhongfu Garden",
"中航紫金广场","AVIC-Zijin Plaza",
"中华城","China City",
"中华儿女美术馆","Art Museum of China Profiles",
"中埔","Zhong-poo",
"中山公园","Zhongshan Park",
"中山路","Zhongshan Rd.",
"中医院","Hospital of TCM",
"中医院分院","Branch of Hospital of TCM",
"忠仑","Zhonglun",
"钟岭路口","Zhongling Intersection",
"钟宅","Zhong-zhai",
"钟宅村口","Zhong-zhai Village Entrance",
"钟宅红星美凯龙","Red Star Macalline, Zhong-zhai",
"钟宅五里","Lane 5 of Zhong-zhai",
"钟宅西三里","W. 3rd Lane of Zhong-zhai",
"紫金矿业","Zijin Mining",
"自贸区象屿园区","Free Trade Zone Xiangyu Park",
